Shortest: hook_side: over the top: cube_h_: W,
Shortest: 2fingerpinch_side: end to end: cube_h_: H,11
Shortest: 2fingerpinch_top: end to end: cone_h_: W,
Shortest: equidistant_top: 3 around the sides: cylinder_e_: W,11
Longest: 3fingerpinch_side: end to end: cylinder_w_: W,
Shortest: 3fingerpinch_top: opposite sides: cylinder_h_: W,
Shortest: 3fingerpinch_top: opposite sides: cylinder_h_: H,
Longest: 3fingerpinch_side: end to end: cylinder_w_: H,
Shortest: equidistant_top: 3 around the sides: cylinder_e_: H,
Shortest: hook_side: over the top: cube_h_: E,
Shortest: hook_side: over the top: cube_h_: H,
Shortest: 3fingerpinch_top: opposite sides: cylinder_h_: E,
Longest: 3fingerpinch_side: end to end: cylinder_w_: E,
Longest: 2fingerpinch_side: around the sides: cone_h_: E,
Longest: hook_side: around the sides: ellipse_h_: E,
Shortest: 3fingerpinch_side: end to end: cube_h_: W,
Longest: 2fingerpinch_side: around the sides: cone_h_: H,
Longest: 2fingerpinch_side: around the sides: cone_h_: W,52
Shortest: 2fingerpinch_top: end to end: cone_h_: H,
Shortest: 3fingerpinch_side: end to end: cube_h_: H,
Shortest: 3fingerpinch_side: end to end: cube_h_: E,
Shortest: 2fingerpinch_side: end to end: cone_e_: W,
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cone_h_: H",
Longest: 3fingerpinch_side: end to end: cone_e_: H,
Longest: 3fingerpinch_side: end to end: cone_e_: E,
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cone_h_: E",0
Longest: 3fingerpinch_side: end to end: cone_e_: W,
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cone_h_: W",
Longest: equidistant_top: 3 around the sides: cone_e_: H,
Shortest: equidistant_top: 3 around the sides: cylinder_e_: E,
"Shortest: equidistant_side: 3 around the sides, palm on round: cone_h_: W",
Longest: hook_side: around the sides: cylinder_h_: W,
Longest: 2fingerpinch_top: 2 around the sides: ellipse_h_: W,
"Shortest: equidistant_side: 3 around the sides, palm on round: cone_h_: E",
Shortest: 2fingerpinch_side: end to end: cone_e_: H,
Longest: 2fingerpinch_top: 2 around the sides: ellipse_h_: H,
Longest: hook_side: around the sides: cylinder_h_: E,100
Longest: 2fingerpinch_top: 2 around the sides: ellipse_h_: E,60
Longest: hook_side: around the sides: cylinder_h_: H,
"Shortest: equidistant_side: 3 around the sides, palm on round: cone_h_: H",23
Longest: equidistant_top: 3 down the sides: cone_h_: W,
Shortest: 2fingerpinch_side: end to end: cone_e_: E,18
Shortest: 2fingerpinch_top: 2 around the sides: cube_h_: H,
Shortest: hook_side: over the top: ellipse_h_: E,
Shortest: 2fingerpinch_side: around the sides: cone_h_: W,0
